title,url,year,critics_choice_nom,critics_choice_win,bafta_nom,bafta_win,golden_globes_nom,golden_globes_win,pga_nom,pga_win,sag_nom,sag_win,oscar_win
Nebraska,https://www.imdb.com/title/tt1821549/?ref_=ev_csegosc_nom,2014,1,0,0,0,0,0,1,0,0,0,0
Captain Phillips,https://www.imdb.com/title/tt1535109/?ref_=ev_csegosc_nom,2014,1,0,1,0,1,0,1,0,0,0,0
Philomena,https://www.imdb.com/title/tt2431286/?ref_=ev_csegosc_nom,2014,0,0,1,0,1,0,0,0,0,0,0
Dallas Buyers Club,https://www.imdb.com/title/tt0790636/?ref_=ev_csegosc_nom,2014,1,0,0,0,0,0,1,0,1,0,0
Gravity,https://www.imdb.com/title/tt1454468/?ref_=ev_csegosc_nom,2014,1,0,1,0,1,0,1,1,0,0,0
Her,https://www.imdb.com/title/tt1798709/?ref_=ev_csegosc_nom,2014,1,0,0,0,0,0,1,0,0,0,0
Argo,https://www.imdb.com/title/tt1024648/?ref_=ev_csegosc_nom,2013,1,1,1,1,1,1,1,1,1,1,1
Amour,https://www.imdb.com/title/tt1602620/?ref_=ev_csegosc_nom,2013,0,0,1,1,0,0,0,0,0,0,0
Beasts of the Southern Wild,https://www.imdb.com/title/tt2125435/?ref_=ev_csegosc_nom,2013,1,0,0,0,0,0,1,0,0,0,0
Django Unchained,https://www.imdb.com/title/tt1853728/?ref_=ev_csegosc_nom,2013,1,0,0,0,1,0,1,0,0,0,0
Les Misérables,https://www.imdb.com/title/tt1707386/?ref_=ev_csegosc_nom,2013,1,0,1,0,0,0,1,0,1,0,0
Life of Pi,https://www.imdb.com/title/tt0454876/?ref_=ev_csegosc_nom,2013,1,0,1,0,1,0,1,0,0,0,0
Lincoln,https://www.imdb.com/title/tt0443272/?ref_=ev_csegosc_nom,2013,1,0,1,0,1,0,1,0,1,0,0
Silver Linings Playbook,https://www.imdb.com/title/tt1045658/?ref_=ev_csegosc_nom,2013,1,0,0,0,0,0,1,0,1,0,0
Zero Dark Thirty,https://www.imdb.com/title/tt1790885/?ref_=ev_csegosc_nom,2013,1,0,1,0,1,0,1,0,0,0,0
The Artist,https://www.imdb.com/title/tt1655442/?ref_=ev_csegosc_nom,2012,1,1,1,1,0,0,1,1,1,0,1
The Tree of Life,https://www.imdb.com/title/tt0478304/?ref_=ev_csegosc_nom,2012,1,0,0,0,0,0,0,0,0,0,0
The Descendants,https://www.imdb.com/title/tt1033575/?ref_=ev_csegosc_nom,2012,1,0,1,0,1,1,1,0,1,0,0
Extremely Loud & Incredibly Close,https://www.imdb.com/title/tt0477302/?ref_=ev_csegosc_nom,2012,1,0,0,0,0,0,0,0,0,0,0
The Help,https://www.imdb.com/title/tt1454029/?ref_=ev_csegosc_nom,2012,1,0,1,0,1,0,1,0,1,1,0
Hugo,https://www.imdb.com/title/tt0970179/?ref_=ev_csegosc_nom,2012,1,0,0,0,1,0,1,0,0,0,0
Midnight in Paris,https://www.imdb.com/title/tt1605783/?ref_=ev_csegosc_nom,2012,1,0,0,0,0,0,1,0,1,0,0
Moneyball,https://www.imdb.com/title/tt1210166/?ref_=ev_csegosc_nom,2012,1,0,0,0,1,0,1,0,0,0,0
War Horse,https://www.imdb.com/title/tt1568911/?ref_=ev_csegosc_nom,2012,1,0,0,0,1,0,1,0,0,0,0
The King's Speech,https://www.imdb.com/title/tt1504320/?ref_=ev_csegosc_nom,2011,1,0,1,1,1,0,1,1,1,1,1
127 Hours,https://www.imdb.com/title/tt1542344/?ref_=ev_csegosc_nom,2011,1,0,0,0,0,0,1,0,0,0,0
Black Swan,https://www.imdb.com/title/tt0947798/?ref_=ev_csegosc_nom,2011,1,0,1,0,1,0,1,0,1,0,0
The Fighter,https://www.imdb.com/title/tt0964517/?ref_=ev_csegosc_nom,2011,1,0,0,0,1,0,1,0,1,0,0
Inception,https://www.imdb.com/title/tt1375666/?ref_=ev_csegosc_nom,2011,1,0,1,0,1,0,1,0,0,0,0
The Kids Are All Right,https://www.imdb.com/title/tt0842926/?ref_=ev_csegosc_nom,2011,0,0,0,0,0,0,1,0,1,0,0
The Social Network,https://www.imdb.com/title/tt1285016/?ref_=ev_csegosc_nom,2011,1,1,1,0,1,1,1,0,1,0,0
Toy Story 3,https://www.imdb.com/title/tt0435761/?ref_=ev_csegosc_nom,2011,1,0,0,0,0,0,1,0,0,0,0
True Grit,https://www.imdb.com/title/tt1403865/?ref_=ev_csegosc_nom,2011,1,0,1,0,0,0,1,0,0,0,0
Winter's Bone,https://www.imdb.com/title/tt1399683/?ref_=ev_csegosc_nom,2011,1,0,0,0,0,0,0,0,0,0,0
The Hurt Locker,https://www.imdb.com/title/tt0887912/?ref_=ev_csegosc_nom,2010,1,1,1,1,1,0,1,1,1,0,1
A Serious Man,https://www.imdb.com/title/tt1019452/?ref_=ev_csegosc_nom,2010,1,0,0,0,0,0,0,0,0,0,0
An Education,https://www.imdb.com/title/tt1174732/?ref_=ev_csegosc_nom,2010,1,0,1,0,0,0,1,0,1,0,0
Avatar,https://www.imdb.com/title/tt0499549/?ref_=ev_csegosc_nom,2010,1,0,1,0,1,1,1,0,0,0,0
District 9,https://www.imdb.com/title/tt1136608/?ref_=ev_csegosc_nom,2010,0,0,0,0,0,0,1,0,0,0,0
Inglourious Basterds,https://www.imdb.com/title/tt0361748/?ref_=ev_csegosc_nom,2010,1,0,0,0,1,0,1,0,1,1,0
Precious,https://www.imdb.com/title/tt0929632/?ref_=ev_csegosc_nom,2010,1,0,1,0,1,0,1,0,1,0,0
The Blind Side,https://www.imdb.com/title/tt0878804/?ref_=ev_csegosc_nom,2010,0,0,0,0,0,0,0,0,0,0,0
Up,https://www.imdb.com/title/tt1049413/?ref_=ev_csegosc_nom,2010,1,0,0,0,0,0,1,0,0,0,0
Up in the Air,https://www.imdb.com/title/tt1193138/?ref_=ev_csegosc_nom,2010,1,0,1,0,1,0,1,0,0,0,0
Slumdog Millionaire,https://www.imdb.com/title/tt1010048/?ref_=ev_csegosc_nom,2009,1,1,1,1,1,1,1,1,1,1,1
The Curious Case of Benjamin Button,https://www.imdb.com/title/tt0421715/?ref_=ev_csegosc_nom,2009,1,0,1,0,1,0,1,0,1,1,0
Frost/Nixon,https://www.imdb.com/title/tt0870111/?ref_=ev_csegosc_nom,2009,1,0,1,0,1,0,1,0,1,0,0
Milk,https://www.imdb.com/title/tt1013753/?ref_=ev_csegosc_nom,2009,1,0,1,0,0,0,1,0,1,0,0
The Reader,https://www.imdb.com/title/tt0976051/?ref_=ev_csegosc_nom,2009,1,0,1,0,1,0,0,0,0,0,0
No Country for Old Men,https://www.imdb.com/title/tt0477348/?ref_=ev_csegosc_nom,2008,1,1,1,0,1,0,1,1,1,1,1
Atonement,https://www.imdb.com/title/tt0783233/?ref_=ev_csegosc_nom,2008,1,0,1,1,1,1,0,0,0,0,0
Juno,https://www.imdb.com/title/tt0467406/?ref_=ev_csegosc_nom,2008,1,0,0,0,0,0,1,0,0,0,0
Michael Clayton,https://www.imdb.com/title/tt0465538/?ref_=ev_csegosc_nom,2008,1,0,0,0,1,0,1,0,0,0,0
There Will Be Blood,https://www.imdb.com/title/tt0469494/?ref_=ev_csegosc_nom,2008,1,0,1,0,1,0,1,0,0,0,0
The Departed,https://www.imdb.com/title/tt0407887/?ref_=ev_csegosc_nom,2007,1,1,1,0,1,0,1,0,1,0,1
Babel,https://www.imdb.com/title/tt0449467/?ref_=ev_csegosc_nom,2007,1,0,1,0,1,1,1,0,1,1,0
Letters from Iwo Jima,https://www.imdb.com/title/tt0498380/?ref_=ev_csegosc_nom,2007,1,0,0,0,0,0,0,0,0,0,0
Little Miss Sunshine,https://www.imdb.com/title/tt0449059/?ref_=ev_csegosc_nom,2007,1,0,1,0,0,0,1,1,1,1,0
The Queen,https://www.imdb.com/title/tt0436697/?ref_=ev_csegosc_nom,2007,1,0,1,1,1,0,1,0,0,0,0
Crash,https://www.imdb.com/title/tt0375679/?ref_=ev_csegosc_nom,2006,1,0,1,0,0,0,1,0,1,1,1
Brokeback Mountain,https://www.imdb.com/title/tt0388795/?ref_=ev_csegosc_nom,2006,1,1,1,1,1,1,1,1,1,0,0
Capote,https://www.imdb.com/title/tt0379725/?ref_=ev_csegosc_nom,2006,1,0,1,0,0,0,1,0,1,0,0
"Good Night, and Good Luck.",https://www.imdb.com/title/tt0433383/?ref_=ev_csegosc_nom,2006,1,0,1,0,1,0,1,0,1,0,0
Munich,https://www.imdb.com/title/tt0408306/?ref_=ev_csegosc_nom,2006,1,0,0,0,0,0,0,0,0,0,0
Million Dollar Baby,https://www.imdb.com/title/tt0405159/?ref_=ev_csegosc_nom,2005,1,0,0,0,1,0,1,0,1,0,1
The Aviator,https://www.imdb.com/title/tt0338751/?ref_=ev_csegosc_nom,2005,1,0,1,1,1,1,1,1,1,1,0
Finding Neverland,https://www.imdb.com/title/tt0308644/?ref_=ev_csegosc_nom,2005,1,0,1,0,1,0,1,0,1,0,0
Ray,https://www.imdb.com/title/tt0350258/?ref_=ev_csegosc_nom,2005,1,0,0,0,0,0,0,0,1,0,0
Sideways,https://www.imdb.com/title/tt0375063/?ref_=ev_csegosc_nom,2005,1,1,0,0,0,0,1,0,1,1,0
The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/?ref_=ev_csegosc_nom,2004,1,1,1,1,1,1,1,1,1,1,1
Lost in Translation,https://www.imdb.com/title/tt0335266/?ref_=ev_csegosc_nom,2004,1,0,1,0,0,0,0,0,0,0,0
Master and Commander: The Far Side of the World,https://www.imdb.com/title/tt0311113/?ref_=ev_csegosc_nom,2004,1,0,1,0,1,0,1,0,0,0,0
Mystic River,https://www.imdb.com/title/tt0327056/?ref_=ev_csegosc_nom,2004,1,0,0,0,1,0,1,0,1,0,0
Seabiscuit,https://www.imdb.com/title/tt0329575/?ref_=ev_csegosc_nom,2004,1,0,0,0,1,0,1,0,1,0,0
Chicago,https://www.imdb.com/title/tt0299658/?ref_=ev_csegosc_nom,2003,1,1,1,0,0,0,1,1,0,0,1
Gangs of New York,https://www.imdb.com/title/tt0217505/?ref_=ev_csegosc_nom,2003,1,0,1,0,1,0,1,0,0,0,0
The Hours,https://www.imdb.com/title/tt0274558/?ref_=ev_csegosc_nom,2003,1,0,1,0,1,1,0,0,0,0,0
The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/?ref_=ev_csegosc_nom,2003,1,0,1,0,1,0,1,0,1,1,0
The Pianist,https://www.imdb.com/title/tt0253474/?ref_=ev_csegosc_nom,2003,1,0,1,1,1,0,0,0,0,0,0
A Beautiful Mind,https://www.imdb.com/title/tt0268978/?ref_=ev_csegosc_nom,2002,1,1,1,0,1,1,1,0,0,0,1
Gosford Park,https://www.imdb.com/title/tt0280707/?ref_=ev_csegosc_nom,2002,0,0,0,0,0,0,0,0,0,0,0
In the Bedroom,https://www.imdb.com/title/tt0247425/?ref_=ev_csegosc_nom,2002,1,0,0,0,1,0,0,0,0,0,0
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=ev_csegosc_nom,2002,1,0,1,1,1,0,1,0,1,1,0
Moulin Rouge!,https://www.imdb.com/title/tt0203009/?ref_=ev_csegosc_nom,2002,1,0,1,0,0,0,1,1,0,0,0
Gladiator,https://www.imdb.com/title/tt0172495/?ref_=ev_csegosc_nom,2001,1,1,1,1,1,1,1,1,0,0,1
Chocolat,https://www.imdb.com/title/tt0241303/?ref_=ev_csegosc_nom,2001,0,0,0,0,0,0,0,0,0,0,0
"Crouching Tiger, Hidden Dragon",https://www.imdb.com/title/tt0190332/?ref_=ev_csegosc_nom,2001,1,0,1,1,0,0,1,0,0,0,0
Erin Brockovich,https://www.imdb.com/title/tt0195685/?ref_=ev_csegosc_nom,2001,1,0,1,0,1,0,1,0,0,0,0
Traffic,https://www.imdb.com/title/tt0181865/?ref_=ev_csegosc_nom,2001,1,0,0,0,1,0,0,0,0,0,0
American Beauty,https://www.imdb.com/title/tt0169547/?ref_=ev_csegosc_nom,2000,1,1,1,1,1,1,1,1,1,1,1
The Cider House Rules,https://www.imdb.com/title/tt0124315/?ref_=ev_csegosc_nom,2000,1,0,0,0,0,0,1,0,1,0,0
The Green Mile,https://www.imdb.com/title/tt0120689/?ref_=ev_csegosc_nom,2000,1,0,0,0,0,0,0,0,1,0,0
The Insider,https://www.imdb.com/title/tt0140352/?ref_=ev_csegosc_nom,2000,1,0,0,0,1,0,1,0,0,0,0
The Sixth Sense,https://www.imdb.com/title/tt0167404/?ref_=ev_csegosc_nom,2000,1,0,1,0,0,0,0,0,0,0,0
Shakespeare in Love,https://www.imdb.com/title/tt0138097/?ref_=ev_csegosc_nom,1999,1,0,1,1,0,0,1,0,1,1,1
Elizabeth,https://www.imdb.com/title/tt0127536/?ref_=ev_csegosc_nom,1999,1,0,1,0,1,0,0,0,0,0,0
Life Is Beautiful,https://www.imdb.com/title/tt0118799/?ref_=ev_csegosc_nom,1999,1,0,1,0,0,0,1,0,1,0,0
Saving Private Ryan,https://www.imdb.com/title/tt0120815/?ref_=ev_csegosc_nom,1999,1,1,1,0,1,1,1,1,1,0,0
The Thin Red Line,https://www.imdb.com/title/tt0120863/?ref_=ev_csegosc_nom,1999,1,0,0,0,0,0,0,0,0,0,0
Titanic,https://www.imdb.com/title/tt0120338/?ref_=ev_csegosc_nom,1998,1,0,1,0,1,1,1,1,1,0,1
As Good as It Gets,https://www.imdb.com/title/tt0119822/?ref_=ev_csegosc_nom,1998,1,0,0,0,0,0,1,0,0,0,0
The Full Monty,https://www.imdb.com/title/tt0119164/?ref_=ev_csegosc_nom,1998,1,0,1,1,0,0,0,0,1,1,0
Good Will Hunting,https://www.imdb.com/title/tt0119217/?ref_=ev_csegosc_nom,1998,1,0,0,0,1,0,1,0,1,0,0
L.A. Confidential,https://www.imdb.com/title/tt0119488/?ref_=ev_csegosc_nom,1998,1,1,1,0,1,0,1,0,1,0,0
The English Patient,https://www.imdb.com/title/tt0116209/?ref_=ev_csegosc_nom,1997,1,0,1,1,1,1,1,1,1,0,1
Fargo,https://www.imdb.com/title/tt0116282/?ref_=ev_csegosc_nom,1997,1,1,1,0,0,0,0,0,0,0,0
Jerry Maguire,https://www.imdb.com/title/tt0116695/?ref_=ev_csegosc_nom,1997,1,0,0,0,0,0,0,0,0,0,0
Secrets & Lies,https://www.imdb.com/title/tt0117589/?ref_=ev_csegosc_nom,1997,0,0,1,0,1,0,0,0,0,0,0
Shine,https://www.imdb.com/title/tt0117631/?ref_=ev_csegosc_nom,1997,1,0,1,0,1,0,1,0,1,0,0
Braveheart,https://www.imdb.com/title/tt0112573/?ref_=ev_csegosc_nom,1996,0,0,0,0,1,0,0,0,0,0,1
Apollo 13,https://www.imdb.com/title/tt0112384/?ref_=ev_csegosc_nom,1996,1,0,0,0,1,0,1,1,1,1,0
Babe,https://www.imdb.com/title/tt0112431/?ref_=ev_csegosc_nom,1996,0,0,1,0,0,0,0,0,0,0,0
The Postman,https://www.imdb.com/title/tt0110877/?ref_=ev_csegosc_nom,1996,0,0,1,1,0,0,1,0,0,0,0
Sense and Sensibility,https://www.imdb.com/title/tt0114388/?ref_=ev_csegosc_nom,1996,1,1,1,1,1,1,1,0,1,0,0
